# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
bor	1763	2.00000	0.00000	0.00000	0.95509	0.01616	0.00020	0.03672	0.01828	0.00022	0.96328	0.01828	0.00022	0.05346	0.02066	0.00023	0.94654	0.02066	0.00023	0.07127	0.03674	0.00031	0.05183	0.05104	0.00000
ber	14195	31.60019	6.54604	0.00386	0.96369	0.00667	0.00012	0.03261	0.00728	0.00013	0.96739	0.00728	0.00013	0.05665	0.01244	0.00017	0.94335	0.01244	0.00017	0.05761	0.01288	0.00017	0.13844	0.09992	0.00386
eul	26639	158.68279	182.13780	0.02104	0.96278	0.00685	0.00013	0.03182	0.00453	0.00010	0.96818	0.00453	0.00010	0.05797	0.01179	0.00017	0.94203	0.01179	0.00017	0.05817	0.01187	0.00017	0.21069	0.11336	0.02104
han	10778	44.19213	12.93313	0.00571	0.97375	0.00591	0.00012	0.03246	0.00799	0.00014	0.96754	0.00799	0.00014	0.03931	0.01033	0.00016	0.96069	0.01033	0.00016	0.03980	0.01059	0.00016	0.03515	0.02591	0.00571
lep	2955	23.99195	4.27703	0.00324	0.96236	0.00616	0.00012	0.03121	0.00564	0.00012	0.96879	0.00564	0.00012	0.06014	0.01159	0.00017	0.93986	0.01159	0.00017	0.06149	0.01213	0.00017	0.17791	0.12887	0.00324
loe	20913	96.28877	57.90814	0.01173	0.96527	0.00665	0.00013	0.03553	0.00535	0.00011	0.96447	0.00535	0.00011	0.05376	0.01149	0.00017	0.94624	0.01149	0.00017	0.05406	0.01162	0.00017	0.13407	0.07681	0.01173
sco	21951	82.30448	45.71319	0.01091	0.96261	0.00624	0.00013	0.04191	0.00804	0.00014	0.95809	0.00804	0.00014	0.05952	0.01142	0.00017	0.94048	0.01142	0.00017	0.05991	0.01157	0.00017	0.17037	0.10577	0.01091
tok	7133	4.74277	0.19106	0.00068	0.97718	0.00568	0.00012	0.03139	0.01189	0.00017	0.96861	0.01189	0.00017	0.03322	0.01041	0.00016	0.96678	0.01041	0.00016	0.03750	0.01326	0.00018	0.01334	0.01832	0.00068
pen	6763	15.48033	2.39541	0.00243	0.95746	0.00811	0.00014	0.02845	0.00593	0.00012	0.97155	0.00593	0.00012	0.06524	0.01561	0.00020	0.93476	0.01561	0.00020	0.06752	0.01673	0.00020	0.14089	0.10551	0.00243
new	25816	104.00785	60.11719	0.01248	0.96245	0.00658	0.00013	0.03595	0.00807	0.00014	0.96405	0.00807	0.00014	0.05911	0.01203	0.00018	0.94089	0.01203	0.00018	0.05941	0.01216	0.00018	0.15826	0.11009	0.01248
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
bor	1763	11580856	389268	48273	0.41683	1.99939	0.00061	0.00001	0.99849	0.00061	0.00001	0.00123	0.00066	0.00001	0.99877	0.00066	0.00001	0.00180	0.00079	0.00001	0.99820	0.00079	0.00001	0.00240	0.00140	0.00001	0.00174	0.00180	0.00001
ber	14195	14002346	439191	156752	1.11947	31.86162	8.98514	0.00080	0.99886	0.00025	0.00000	0.00102	0.00026	0.00000	0.99898	0.00026	0.00000	0.00178	0.00049	0.00001	0.99822	0.00049	0.00001	0.00181	0.00050	0.00001	0.00434	0.00372	0.00080
eul	26639	12493783	411565	270701	2.16669	162.52112	196.59553	0.00397	0.99877	0.00027	0.00000	0.00105	0.00018	0.00000	0.99895	0.00018	0.00000	0.00191	0.00050	0.00001	0.99809	0.00050	0.00001	0.00192	0.00050	0.00001	0.00694	0.00515	0.00397
han	10778	13556025	396521	101285	0.74716	44.97898	14.38688	0.00103	0.99923	0.00019	0.00000	0.00095	0.00026	0.00000	0.99905	0.00026	0.00000	0.00115	0.00035	0.00001	0.99885	0.00035	0.00001	0.00116	0.00035	0.00001	0.00103	0.00079	0.00103
lep	2955	13186869	406364	168190	1.27544	24.84086	4.52237	0.00059	0.99884	0.00023	0.00000	0.00096	0.00020	0.00000	0.99904	0.00020	0.00000	0.00185	0.00047	0.00001	0.99815	0.00047	0.00001	0.00189	0.00049	0.00001	0.00548	0.00492	0.00059
loe	20913	13102099	420881	230756	1.76121	99.50593	77.79730	0.00244	0.99888	0.00025	0.00000	0.00114	0.00021	0.00000	0.99886	0.00021	0.00000	0.00173	0.00046	0.00001	0.99827	0.00046	0.00001	0.00174	0.00046	0.00001	0.00431	0.00303	0.00244
sco	21951	13102635	384277	201520	1.53801	85.05184	57.65672	0.00210	0.99890	0.00022	0.00000	0.00123	0.00029	0.00000	0.99877	0.00029	0.00000	0.00175	0.00044	0.00001	0.99825	0.00044	0.00001	0.00176	0.00044	0.00001	0.00500	0.00393	0.00210
tok	7133	15131926	414652	44625	0.29491	4.80778	0.16659	0.00010	0.99937	0.00017	0.00000	0.00086	0.00035	0.00000	0.99914	0.00035	0.00000	0.00091	0.00031	0.00000	0.99909	0.00031	0.00000	0.00103	0.00040	0.00001	0.00037	0.00051	0.00010
pen	6763	13364250	405710	116083	0.86861	16.08114	2.38611	0.00042	0.99871	0.00030	0.00000	0.00086	0.00020	0.00000	0.99914	0.00020	0.00000	0.00198	0.00060	0.00001	0.99802	0.00060	0.00001	0.00205	0.00064	0.00001	0.00428	0.00379	0.00042
new	25816	12309254	386077	177739	1.44395	104.26160	97.56527	0.00282	0.99882	0.00025	0.00000	0.00113	0.00029	0.00000	0.99887	0.00029	0.00000	0.00185	0.00048	0.00001	0.99815	0.00048	0.00001	0.00186	0.00049	0.00001	0.00496	0.00421	0.00282
